analysis,AIC,country_random_SD,COM_Poisson_dispersion,converged
COVID-19 excluded,8877.635172078164,0.8038672505323579,0.8689464491779142,TRUE
2009 pandemic influenza excluded,9744.5015185336,0.5561154414096188,0.5783240584009443,TRUE
