disease,outbreak_records
Influenza due to identified zoonotic or pandemic influenza virus,193
"Yellow fever, unspecified",4
Meningococcal meningitis,3
"Acute poliomyelitis, unspecified",2
Ebola disease,2
Cholera,1
"Dengue fever, unspecified",1
Unspecified viral haemorrhagic fever,1
