country,iso3,outbreak_records,unique_diseases,years_reporting
Sint Maarten (Dutch part),SXM,7,3,6
Slovakia,SVK,10,4,7
Slovenia,SVN,14,6,11
Solomon Islands,SLB,7,3,7
Somalia,SOM,27,10,17
South Africa,ZAF,25,12,16
South Sudan,SSD,18,8,9
Spain,ESP,26,16,17
Sri Lanka,LKA,12,5,9
Sudan,SDN,39,18,20
Suriname,SUR,12,5,9
Sweden,SWE,18,11,11
Switzerland,CHE,15,7,11
Syrian Arab Republic,SYR,9,4,8
Taiwan Province of China,TWN,3,3,2
Tajikistan,TJK,7,4,7
Tanzania United Republic of,TZA,26,12,17
Thailand,THA,25,11,16
Timor-Leste,TLS,9,6,8
Togo,TGO,27,10,15
Tokelau,TKL,4,3,4
Tonga,TON,8,4,7
Trinidad and Tobago,TTO,9,5,8
Tunisia,TUN,8,4,8
Turkey,TUR,14,6,11
Turks and Caicos Islands,TCA,9,3,7
Tuvalu,TUV,5,3,5
Uganda,UGA,39,14,23
Ukraine,UKR,13,4,11
United Arab Emirates,ARE,18,4,13
United Kingdom of Great Britain and Northern Ireland,GBR,41,21,21
United States of America,USA,51,28,24
Uruguay,URY,12,4,9
Uzbekistan,UZB,7,2,6
Vanuatu,VUT,7,3,7
Venezuela (Bolivarian Republic of),VEN,18,8,13
Viet Nam,VNM,20,8,17
Virgin Islands (British),VGB,9,3,7
Virgin Islands (U.S.),VIR,6,3,6
Wallis and Futuna,WLF,8,3,7
Yemen,YEM,14,9,10
Zambia,ZMB,21,11,15
Zimbabwe,ZWE,16,5,12
